post_id,post_text,views_cnt,likes_cnt,reposts_cnt,comment_cnt,creation_date
568542,Ксения Собчак с сыном отдыхает в Ботсване и три дня посвятила сафари. Ведущая поделилась снимками с эффектной фотосессии,392,3,0,1,2025-05-06 16:35:33+00:00
2177901,"Ксения Собчак, 43-летняя журналистка, задала новый модный тренд, продемонстрировав свои оригинальные сапоги-черпалки от Acne Studios за 118 тысяч рублей во время прогулки по улицам Москвы.",1840,2,7,2,2025-05-06 16:35:16+00:00
28504,"Как связана квартира Ксении Собчак за 1 млрд рублей (о которой рассказал ВЧК-ОГПУ) и странный проект «Осторожно Собчак» об истории парковой культуры ? По словам источника, если ранее Собчак не особенно жаловали в АП и властных кругах, то примерно 1,5 года неожиданно из Кремля пошла отмашка, что с ней не только можно, но и нужно финансово сотрудничать. Как раз прошлая зима была настоящей бедой для губернатора Подмосковья Андрея Воробьева (регион утонул в коммунальных катастрофах), его чиновничье будущее было под вопросом. И было решено «убить сразу несколько зайцев»: выполнить отмашку Кремля на сотрудничество с Собчак, а заодно запустить позитивный PR о регионе. В результате через ГАУ «Контент-Центр» с Собчак в 2024 году был заключен договор на 20 млн рублей. Так и появился этот самый проект «об истории парковой культуры», который рассказывает только о парках Подмосковья (конечно же, они самые лучшие в мире). Курирует это направление заместитель председателя правительства Московской области Вячеслав Духин (бывший гендиректор телеканала 360), он же лично общается с Собчак..  . Поскольку Воробьева не сняли, то путь по покупке Собчак показался властям Подмосковья правильным. Следом Собчак был снять фильм «Учат в школе» о том, что в Подмосковье лучшие школы, которые не уступают и британским. Новые договора и сотрудничество с Собчак продолжилось и в 2025 году. И таким денежным потоком ее обеспечивает не только Подмосковье. Тут и на зарплаты журналистам «Осторожно медиа» хватит, и чтобы итальянский мрамор подороже взять для квартиры за 1 млрд рублей.",7,1,0,0,2025-05-06 15:28:31+00:00
28503,"Мнение источника ВЧК-ОГПУ об очередной коммунальной катастрофе в Подмосковье и неспособности властей региона справиться с ней:.  . «Происходит ровно тоже самое, что и в январе 2024, когда без тепла осталась чуть ли не половина Подольска, а все ключевые министры в это время были в отпуске в Дубае. После этого началась скупка лидеров общественного мнения (Собчак, Симонян) и чистка телеграм-каналов.. . Московская область тратит на ай-ти решения и на связи с общественностью миллиарды (это реальная сумма — один телеканал 360 получает более 1 млрд, не считая трат на социальные сети и имидж губернатора).  . В каждом городе Подмосковья есть свой ВК, ОК, тг-канал, на которые область тратит сотни миллионов, также в области остался их собственный инцидент-менеджмент (ЦУР) — Центр управления регионом..  . И ничего из этого не помогает наладить контакт с населением и построить рабочую вертикаль решения инцидентов. Все из-за того, что:.  . А) вся область сидит на откатах в ручном режиме управления, существует множество компаний контролируемых администрацией МО, которые в каждой сфере выигрывают тендеры. (Их легко найти, ФАС закрывает на это глаза).  . Б) вся машина заточена на имидж губернатора Воробьева, т.к. и он, и его окружение, и его отец видят Воробьева будущим президентом РФ (это не шутка). . Поэтому мы не видим решения проблем, а видим лишь сплошное упоминание Россетей (и перекладывания вины на них), как основного виновника..  . Вскоре мы увидим большую кампанию с тезисами о том что Россести недоглядели, Воробьев исправил и всех спасает».",7,1,0,0,2025-05-06 15:26:23+00:00
80890,Собчак возвращает моду на остроносые тяги из нулевых. Вот только этого еще не хватало,156,2,0,1,2025-05-06 15:17:13+00:00
8648,"‼Ксения Собчак поделилась мнением о возвращении Данилы Козловского и Ивана Урганта на общественную арену, предположив наличие мощных лоббистов за спинами этих артистов. .  . По её словам, ситуация свидетельствует не о каких-то новых трендах, а о том, кто стоит за каждым из них. «Есть два ярких примера: наши талантливые артисты, Ваня Ургант и Данила Козловский. Ситуации вокруг них развиваются по-разному. Это не новые реалии времени, а скорее противостояние между покровителями. За Урганта также пытались заступиться, но его так и не удалось вернуть на экран. А вот поддержка Козловского позволила ему вернуться на передний план» – заключила Ксения.",54,1,0,0,2025-05-06 15:00:00+00:00
271,"Не надо под «саморазвитием» прикрывать массовый обман женщин, которым впихивают в голову околопсихологическую ересь недобросовестные «специалисты», после чего, еще вчера счастливая женщина, вдруг осознала себя жертвой и решила начать все с нуля в 35.. . А когда спустя несколько лет их настигает реальность, они уже не к эзотерикам и недопсихологам идут, и не блог Ксении Собчак читают, а в слезах и соплях приходят в храм или к настоящим психологам, рассказывая о том, как они испортили всю свою жизнь, доверившись инфоцыганам.. . p.s. Я уже по горло насмотрелся на страдающих подростков, у которых семьи развалились по причине того, что кто-то вдруг что-то осознал или саморазвился… Странное саморазвитие, после которого остаются годами кровоточащие раны.",6,1,0,0,2025-05-06 14:44:26+00:00
52521,"Знаменитая телеведущая Ксения Собчак потрясена недавними новостями. Она сообщила, что SHAMAN зарегистрировал бренд «Я русский» и подал заявку в Роспатент. Под этим брендом планируется продажа алкогольных напитков, таких как водка, медовуха, сидр, виски и другие. . . Собчак выразила свое возмущение: «Друзья… соратники… родные мои… Случилось стмнение! Шаман будет спаивать народ под свои патриотические песни! Такого русского, значит, видит Ярослав в Год семьи? Разведенного? Торгующего и пьющего водку? Где честь? Где совесть? Где национальная гордость?». . Приглашаем в наш паблик, где мы каждый день публикуем интересные факты и истории [club175114682|ИСТОРИЯ | ДАТЫ | ЛЮДИ]",3539,50,6,26,2025-05-06 14:41:00+00:00
708483,"Вот и новый образ Ксении Собчак.. . Просто глаза разбегаются от такого разнообразия!. . Здесь и юбка с необычным кроем, напоминающая гармошку, и вязаные носки с серыми бабушками, и яркая сумка-акцент.. . Интересно, они с Петросяновной случайно не в одном магазине одеваются",2918,7,0,3,2025-05-06 14:40:51+00:00
11914,"Студенты МБИ имени Анатолия Собчака поддержали акцию «Памяти павших будьте достойны» .  . Традиционная акция памяти состоялась в преддверии 80-летия Победы в Великой Отечественной войне. Студенты почтили подвиг советских солдат, возложив цветы на Пискаревском мемориальном кладбище к монументу «Мать-Родина» и памятникам героям войны, вспомнив трагические страницы прошлых лет. .  . 📌 Ежегодно для акции создают особый сценарий, основанный на событиях блокадной эпохи. В этом году композиция строилась вокруг знаменитых произведений таких выдающихся поэтов, как Юрий Воронов, Ольга Берггольц и Михаил Исаковский.",146,5,0,0,2025-05-06 14:30:39+00:00
